Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
38.520;24.28;-0.42;
38.530;24.22;-0.25;
38.540;23.91;-0.15;
38.550;23.95;0.01;
38.560;23.78;0.16;
38.570;23.60;0.36;
38.580;23.33;0.70;
38.590;22.92;0.96;
38.600;22.81;1.02;
38.610;22.84;0.89;
38.620;23.46;0.60;
38.630;23.93;0.30;
38.640;24.15;0.06;
38.650;24.42;-0.27;
38.660;24.81;-0.53;
38.670;25.11;-0.92;
38.680;25.37;-0.81;
38.690;25.05;-0.67;
38.700;24.87;-0.50;
38.710;24.55;-0.45;
38.720;24.35;-0.23;
38.730;24.27;-0.25;
38.740;24.00;-0.06;
38.750;23.92;0.24;
38.760;23.51;0.12;
38.770;23.57;0.34;
38.780;23.17;0.50;
38.790;22.84;1.03;
38.800;22.67;1.14;
38.810;22.73;0.78;
38.820;23.24;0.57;
38.830;23.46;0.42;
38.840;23.63;0.22;
38.850;24.08;-0.26;
38.860;24.47;-0.59;
38.870;24.70;-0.60;
38.880;24.84;-0.78;
38.890;24.56;-0.67;
38.900;24.31;-0.60;
38.910;23.91;-0.53;
38.920;23.83;-0.34;
38.930;23.63;-0.06;
38.940;23.51;-0.05;
38.950;23.29;-0.07;
38.960;22.87;0.32;
38.970;22.80;0.34;
38.980;22.25;0.58;
38.990;21.78;1.00;
39.000;21.61;1.19;
39.010;21.70;1.08;
39.020;22.16;0.60;
39.030;22.39;0.21;
39.040;22.46;0.25;
39.050;22.75;-0.21;
39.060;23.24;-0.57;
39.070;23.63;-0.72;
39.080;23.57;-0.91;
39.090;23.41;-0.73;
39.100;22.96;-0.56;
39.110;22.83;-0.47;
39.120;22.56;-0.11;
39.130;22.38;-0.13;
39.140;22.42;-0.23;
39.150;21.94;0.07;
39.160;21.68;0.21;
39.170;21.63;0.40;
39.180;21.39;0.40;
39.190;20.85;0.82;
39.200;20.60;0.94;
39.210;20.86;0.86;
39.220;21.61;0.62;
39.230;21.79;0.32;
39.240;22.07;0.19;
39.250;22.50;-0.18;
39.260;23.16;-0.58;
39.270;23.65;-0.88;
39.280;23.58;-0.88;
39.290;23.65;-0.82;
39.300;23.45;-0.66;
39.310;23.37;-0.46;
39.320;23.30;-0.34;
39.330;23.27;-0.22;
39.340;23.11;-0.04;
39.350;23.15;-0.01;
39.360;23.10;0.07;
39.370;22.93;0.24;
39.380;22.77;0.59;
39.390;22.29;0.97;
39.400;22.25;1.29;
39.410;22.61;0.99;
39.420;23.13;0.57;
39.430;23.53;0.29;
39.440;23.77;0.08;
39.450;24.30;-0.09;
39.460;24.81;-0.51;
39.470;25.02;-0.84;
39.480;25.06;-0.91;
39.490;25.19;-0.76;
39.500;24.93;-0.47;
39.510;24.62;-0.34;
39.520;24.62;-0.35;
39.530;24.43;-0.33;
39.540;24.39;-0.17;
39.550;24.18;0.11;
39.560;24.08;0.30;
39.570;24.02;0.39;
39.580;23.64;0.47;
39.590;23.38;0.82;
39.600;23.13;0.94;
39.610;23.42;1.02;
39.620;23.97;0.64;
39.630;24.14;0.31;
39.640;24.36;0.22;
39.650;25.01;-0.21;
39.660;25.36;-0.56;
39.670;25.54;-0.82;
39.680;25.92;-0.88;
39.690;25.57;-0.67;
39.700;25.30;-0.70;
39.710;25.28;-0.59;
39.720;24.97;-0.37;
39.730;24.95;-0.36;
39.740;25.00;-0.07;
39.750;24.58;0.04;
39.760;24.59;0.15;
39.770;24.37;0.23;
39.780;24.02;0.52;
39.790;23.63;1.05;
39.800;23.27;1.09;
39.810;23.70;0.82;
39.820;24.05;0.61;
39.830;24.46;0.25;
39.840;24.54;0.22;
39.850;24.90;-0.06;
39.860;25.62;-0.63;
39.870;25.84;-0.88;
39.880;25.73;-0.85;
39.890;25.42;-0.82;
39.900;25.34;-0.71;
39.910;25.05;-0.37;
39.920;24.90;-0.36;
39.930;24.74;-0.24;
39.940;24.46;-0.07;
39.950;24.41;-0.01;
39.960;24.06;0.30;
39.970;23.94;0.45;
39.980;23.71;0.57;
39.990;23.24;0.89;
40.000;23.05;0.84;
40.010;23.15;0.92;
40.020;23.42;0.67;
40.030;23.95;0.13;
40.040;24.00;0.11;
40.050;24.55;-0.15;
40.060;25.06;-0.53;
40.070;25.01;-0.77;
40.080;25.34;-0.89;
40.090;25.23;-0.71;
40.100;25.00;-0.59;
40.110;24.70;-0.40;
40.120;24.56;-0.45;
40.130;24.40;-0.36;
40.140;24.43;-0.18;
40.150;24.13;-0.09;
40.160;23.88;0.19;
40.170;23.89;0.21;
40.180;23.35;0.40;
40.190;22.93;1.02;
40.200;22.72;1.19;
40.210;22.92;0.90;
40.220;23.58;0.50;
40.230;23.69;0.27;
40.240;23.80;0.27;
40.250;24.25;-0.22;
40.260;24.75;-0.52;
40.270;24.99;-0.87;
40.280;24.97;-1.02;
40.290;24.84;-0.72;
40.300;24.40;-0.68;
40.310;24.21;-0.49;
40.320;24.00;-0.38;
40.330;23.93;-0.17;
40.340;23.70;-0.15;
40.350;23.38;-0.08;
40.360;23.05;0.47;
40.370;22.82;0.34;
40.380;22.52;0.44;
40.390;22.05;0.76;
40.400;21.87;1.06;
40.410;21.89;0.99;
40.420;22.29;0.55;
40.430;22.50;0.41;
40.440;22.57;0.14;
40.450;23.05;-0.29;
40.460;23.40;-0.60;
40.470;23.59;-0.74;
40.480;23.62;-0.85;
40.490;23.26;-0.78;
40.500;22.95;-0.62;
40.510;22.74;-0.29;
40.520;22.50;-0.30;
40.530;22.38;-0.19;
40.540;22.03;-0.17;
40.550;21.81;0.03;
40.560;21.63;0.17;
40.570;21.37;0.19;
40.580;21.16;0.47;
40.590;20.44;0.95;
40.600;20.16;1.06;
40.610;20.33;0.75;
40.620;20.84;0.58;
40.630;21.12;0.25;
40.640;21.23;0.23;
40.650;21.78;-0.09;
40.660;22.20;-0.48;
40.670;22.32;-0.81;
40.680;22.30;-0.83;
40.690;22.17;-0.78;
40.700;21.89;-0.61;
40.710;21.74;-0.58;
40.720;21.43;-0.30;
40.730;21.22;-0.20;
40.740;21.07;-0.08;
40.750;21.01;0.17;
40.760;20.51;0.18;
40.770;20.23;0.21;
40.780;20.01;0.49;
40.790;19.53;0.97;
40.800;19.51;0.97;
40.810;19.51;0.99;
40.820;19.93;0.48;
40.830;20.26;0.31;
40.840;20.46;0.11;
40.850;20.91;-0.07;
40.860;21.30;-0.63;
40.870;21.71;-0.83;
40.880;21.92;-0.95;
40.890;21.48;-0.82;
40.900;21.29;-0.61;
40.910;21.16;-0.60;
40.920;20.94;-0.21;
40.930;20.91;-0.30;
40.940;20.80;0.03;
40.950;20.45;-0.00;
40.960;20.24;0.21;
40.970;20.25;0.45;
40.980;19.62;0.65;
40.990;19.32;0.91;
41.000;19.18;1.06;
41.010;19.29;0.79;
41.020;19.90;0.52;
41.030;20.04;0.38;
41.040;20.33;0.18;
41.050;20.86;-0.21;
41.060;21.19;-0.49;
41.070;21.42;-0.79;
41.080;21.53;-0.97;
41.090;21.40;-0.85;
41.100;21.06;-0.80;
41.110;20.78;-0.45;
41.120;20.44;-0.39;
41.130;20.33;-0.22;
41.140;20.18;-0.27;
41.150;20.04;0.05;
41.160;19.98;0.32;
41.170;19.75;0.45;
41.180;19.24;0.57;
41.190;18.66;0.79;
41.200;18.73;0.94;
41.210;18.79;0.90;
41.220;19.45;0.54;
41.230;19.80;0.24;
41.240;19.80;0.21;
41.250;20.28;-0.30;
41.260;20.74;-0.48;
41.270;21.24;-0.78;
41.280;21.16;-0.74;
41.290;21.08;-0.70;
41.300;20.82;-0.51;
41.310;20.61;-0.33;
41.320;20.39;-0.32;
41.330;20.30;-0.37;
41.340;20.07;-0.08;
41.350;19.74;0.13;
41.360;19.70;-0.03;
41.370;19.48;0.38;
41.380;19.31;0.51;
41.390;18.88;0.96;
41.400;18.71;1.03;
41.410;18.81;0.93;
41.420;19.24;0.60;
41.430;19.56;0.34;
41.440;19.74;0.19;
41.450;20.36;-0.25;
41.460;20.65;-0.53;
41.470;20.87;-0.85;
41.480;21.13;-0.97;
41.490;20.86;-0.82;
41.500;20.67;-0.54;
41.510;20.54;-0.37;
41.520;20.23;-0.17;
41.530;20.21;-0.18;
41.540;20.01;-0.07;
41.550;19.92;0.15;
41.560;19.73;0.53;
41.570;19.39;0.38;
41.580;19.17;0.52;
41.590;18.74;1.04;
41.600;18.57;1.17;
41.610;18.80;0.98;
41.620;19.48;0.69;
41.630;19.63;0.34;
41.640;19.66;0.18;
41.650;20.22;0.09;
41.660;20.79;-0.50;
41.670;21.11;-0.70;
41.680;21.06;-0.90;
41.690;20.79;-0.68;
41.700;20.52;-0.46;
41.710;20.58;-0.27;
41.720;20.08;-0.10;
41.730;19.93;-0.05;
41.740;20.07;0.01;
41.750;19.70;-0.03;
41.760;19.35;0.26;
41.770;19.12;0.36;
41.780;19.07;0.80;
41.790;18.53;1.02;
41.800;18.31;1.04;
41.810;18.70;0.96;
41.820;19.05;0.62;
41.830;19.30;0.38;
41.840;19.34;0.21;
41.850;19.93;-0.20;
41.860;20.20;-0.53;
41.870;20.46;-0.57;
41.880;20.81;-0.77;
41.890;20.41;-0.71;
41.900;20.29;-0.62;
41.910;19.85;-0.39;
41.920;19.80;-0.27;
41.930;19.77;-0.24;
41.940;19.32;-0.19;
41.950;19.24;0.06;
41.960;18.95;0.21;
41.970;18.78;0.51;
41.980;18.50;0.57;
41.990;17.86;0.90;
42.000;17.55;1.28;
42.010;17.87;1.03;
42.020;18.38;0.67;
42.030;18.54;0.27;
42.040;18.76;0.26;
42.050;19.24;-0.16;
42.060;19.59;-0.59;
42.070;19.82;-0.76;
42.080;19.81;-0.74;
42.090;19.59;-0.78;
42.100;19.30;-0.57;
42.110;19.30;-0.42;
42.120;18.92;-0.14;
42.130;18.75;-0.13;
42.140;18.55;-0.02;
42.150;18.05;0.16;
42.160;18.01;0.16;
42.170;17.77;0.46;
42.180;17.44;0.49;
42.190;17.01;0.94;
42.200;16.90;1.03;
42.210;17.04;0.96;
42.220;17.36;0.58;
42.230;17.56;0.28;
42.240;17.75;0.17;
42.250;18.31;-0.27;
42.260;18.63;-0.61;
42.270;18.89;-0.87;
42.280;18.97;-0.89;
42.290;18.61;-0.75;
42.300;18.42;-0.60;
42.310;18.19;-0.53;
42.320;18.20;-0.31;
42.330;18.02;-0.18;
42.340;17.75;-0.31;
42.350;17.66;-0.02;
42.360;17.29;0.13;
42.370;17.26;0.53;
42.380;16.87;0.69;
42.390;16.26;1.00;
42.400;16.10;1.12;
42.410;16.44;0.83;
42.420;16.87;0.78;
42.430;17.10;0.27;
42.440;17.59;0.08;
42.450;17.81;-0.24;
42.460;18.11;-0.61;
42.470;18.73;-0.94;
42.480;18.82;-0.85;
42.490;18.58;-0.75;
42.500;18.26;-0.62;
42.510;18.06;-0.53;
42.520;17.96;-0.39;
42.530;17.94;-0.24;
42.540;17.71;-0.13;
42.550;17.53;-0.02;
42.560;17.38;0.13;
42.570;17.17;0.37;
42.580;17.05;0.59;
42.590;16.69;0.86;
42.600;16.47;0.89;
42.610;16.57;0.98;
42.620;17.18;0.52;
42.630;17.66;0.35;
42.640;17.77;0.23;
42.650;18.20;-0.18;
42.660;18.74;-0.59;
42.670;19.00;-0.71;
42.680;19.23;-0.94;
42.690;19.05;-0.83;
42.700;18.88;-0.55;
42.710;18.83;-0.51;
42.720;18.69;-0.43;
42.730;18.64;-0.18;
42.740;18.50;-0.05;
42.750;18.07;-0.21;
42.760;18.02;0.26;
42.770;18.12;0.38;
42.780;17.63;0.59;
42.790;17.21;0.88;
42.800;16.96;1.07;
42.810;17.32;0.95;
42.820;17.90;0.46;
42.830;18.07;0.29;
42.840;18.37;0.19;
42.850;18.92;-0.17;
42.860;19.42;-0.67;
42.870;19.58;-0.77;
42.880;19.73;-0.85;
42.890;19.67;-0.79;
42.900;19.31;-0.65;
42.910;19.19;-0.50;
42.920;19.00;-0.26;
42.930;18.95;-0.18;
42.940;18.79;-0.17;
42.950;18.58;0.05;
42.960;18.26;0.24;
42.970;18.02;0.28;
42.980;17.89;0.49;
42.990;17.47;0.85;
43.000;17.06;1.17;
43.010;17.30;0.91;
43.020;17.96;0.51;
43.030;17.92;0.41;
43.040;18.25;0.14;
43.050;18.60;-0.16;
43.060;18.84;-0.45;
43.070;19.27;-0.69;
43.080;19.45;-0.83;
43.090;19.10;-0.87;
43.100;18.77;-0.50;
43.110;18.69;-0.47;
43.120;18.29;-0.33;
43.130;18.36;-0.12;
43.140;18.16;0.01;
43.150;17.84;0.14;
43.160;17.77;0.28;
43.170;17.42;0.51;
43.180;17.07;0.57;
43.190;16.59;1.05;
43.200;16.40;1.06;
43.210;16.41;0.99;
43.220;16.91;0.80;
43.230;17.23;0.39;
43.240;17.39;0.28;
43.250;17.89;-0.09;
43.260;18.15;-0.52;
43.270;18.43;-0.69;
43.280;18.34;-0.88;
43.290;18.20;-0.67;
43.300;18.00;-0.42;
43.310;17.71;-0.42;
43.320;17.55;-0.15;
43.330;17.29;-0.03;
43.340;17.15;-0.03;
43.350;16.92;-0.05;
43.360;16.50;0.20;
43.370;16.38;0.42;
43.380;15.96;0.66;
43.390;15.42;0.92;
43.400;15.37;1.11;
43.410;15.44;0.95;
43.420;15.92;0.54;
43.430;16.04;0.45;
43.440;16.34;0.15;
43.450;16.85;-0.06;
43.460;17.13;-0.60;
43.470;17.55;-0.85;
43.480;17.42;-0.74;
43.490;17.12;-0.77;
43.500;16.71;-0.46;
43.510;16.58;-0.40;
43.520;16.37;-0.28;
43.530;16.46;-0.11;
43.540;16.23;-0.13;
43.550;15.68;-0.02;
43.560;15.81;0.21;
43.570;15.59;0.30;
43.580;15.03;0.52;
43.590;14.51;0.95;
43.600;14.49;1.04;
43.610;14.60;0.99;
43.620;14.97;0.58;
43.630;15.30;0.34;
43.640;15.62;0.25;
43.650;16.04;-0.42;
43.660;16.36;-0.45;
43.670;16.57;-0.74;
43.680;16.67;-0.92;
43.690;16.63;-0.82;
43.700;16.40;-0.82;
43.710;16.14;-0.43;
43.720;15.89;-0.35;
43.730;15.73;-0.17;
43.740;15.48;-0.17;
43.750;15.23;-0.02;
43.760;15.13;0.31;
43.770;14.91;0.43;
43.780;14.61;0.42;
43.790;14.19;0.88;
43.800;13.77;1.17;
43.810;14.09;0.91;
43.820;14.56;0.58;
43.830;15.00;0.33;
43.840;15.07;0.27;
43.850;15.54;-0.13;
43.860;15.93;-0.58;
43.870;16.21;-0.80;
43.880;16.42;-0.85;
43.890;16.09;-0.75;
43.900;15.95;-0.50;
43.910;15.66;-0.38;
43.920;15.49;-0.23;
43.930;15.18;-0.27;
43.940;15.18;-0.21;
43.950;15.17;0.11;
43.960;14.97;0.21;
43.970;14.74;0.31;
43.980;14.43;0.73;
43.990;13.96;0.97;
44.000;13.74;1.04;
44.010;14.00;0.90;
44.020;14.47;0.58;
44.030;14.90;0.39;
44.040;14.95;0.24;
44.050;15.42;-0.14;
44.060;15.76;-0.62;
44.070;16.14;-0.84;
44.080;16.43;-0.87;
44.090;16.07;-0.90;
44.100;16.07;-0.74;
44.110;15.75;-0.48;
44.120;15.54;-0.45;
44.130;15.54;-0.25;
44.140;15.35;-0.29;
44.150;15.28;0.01;
44.160;15.02;0.08;
44.170;14.81;0.24;
44.180;14.45;0.56;
44.190;14.16;0.85;
44.200;13.82;1.09;
44.210;14.08;0.85;
44.220;14.56;0.60;
44.230;14.87;0.34;
44.240;15.16;0.21;
44.250;15.59;-0.26;
44.260;16.20;-0.74;
44.270;16.48;-1.00;
44.280;16.53;-0.90;
44.290;16.14;-0.94;
44.300;15.99;-0.61;
44.310;15.87;-0.42;
44.320;15.73;-0.38;
44.330;15.72;-0.36;
44.340;15.48;-0.24;
44.350;15.22;-0.11;
44.360;15.05;0.02;
44.370;14.89;0.39;
44.380;14.62;0.37;
44.390;14.16;0.85;
44.400;14.00;1.02;
44.410;14.24;0.85;
44.420;14.62;0.51;
44.430;15.04;0.24;
44.440;15.30;0.07;
44.450;15.77;-0.25;
44.460;16.16;-0.62;
44.470;16.32;-0.74;
44.480;16.47;-0.86;
44.490;16.36;-0.89;
44.500;16.01;-0.59;
44.510;16.06;-0.54;
44.520;15.87;-0.27;
44.530;15.46;-0.12;
44.540;15.52;-0.23;
44.550;15.34;-0.08;
44.560;15.19;0.03;
44.570;15.04;0.27;
44.580;14.68;0.72;
44.590;14.08;0.86;
44.600;13.88;1.20;
44.610;14.06;0.91;
44.620;14.61;0.49;
44.630;14.98;0.40;
44.640;15.12;0.12;
44.650;15.42;-0.17;
44.660;15.90;-0.55;
44.670;16.31;-0.67;
44.680;16.23;-0.76;
44.690;16.26;-0.85;
44.700;15.68;-0.72;
44.710;15.72;-0.40;
44.720;15.39;-0.30;
44.730;15.32;-0.09;
44.740;15.19;-0.09;
44.750;14.82;0.06;
44.760;14.85;0.26;
44.770;14.62;0.32;
44.780;14.39;0.69;
44.790;13.65;1.00;
44.800;13.71;1.07;
44.810;13.80;1.05;
44.820;14.25;0.79;
44.830;14.44;0.39;
44.840;14.66;0.21;
44.850;15.23;-0.27;
44.860;15.55;-0.52;
44.870;15.85;-0.89;
44.880;15.96;-0.83;
44.890;15.82;-0.63;
44.900;15.64;-0.66;
44.910;15.34;-0.45;
44.920;15.15;-0.31;
44.930;15.08;-0.05;
44.940;14.84;-0.09;
44.950;14.76;0.06;
44.960;14.45;0.17;
44.970;14.23;0.44;
44.980;13.95;0.68;
44.990;13.54;0.78;
45.000;13.18;1.07;
45.010;13.61;0.89;
45.020;14.07;0.53;
45.030;14.32;0.42;
45.040;14.58;0.37;
45.050;15.00;-0.17;
45.060;15.52;-0.67;
45.070;15.82;-0.75;
45.080;15.81;-0.96;
45.090;15.66;-0.78;
45.100;15.44;-0.63;
45.110;15.22;-0.45;
45.120;15.25;-0.21;
45.130;14.96;-0.20;
45.140;14.83;-0.14;
45.150;14.69;0.08;
45.160;14.45;0.38;
45.170;14.19;0.19;
45.180;14.09;0.63;
45.190;13.74;0.86;
45.200;13.57;0.79;
45.210;13.79;0.94;
45.220;14.18;0.50;
45.230;14.55;0.33;
45.240;14.68;0.13;
45.250;15.24;-0.20;
45.260;15.78;-0.52;
45.270;15.86;-0.73;
45.280;15.92;-0.81;
45.290;15.90;-0.82;
45.300;15.65;-0.62;
45.310;15.65;-0.40;
45.320;15.43;-0.39;
45.330;15.26;-0.24;
45.340;15.19;-0.25;
45.350;14.85;-0.20;
45.360;14.81;0.15;
45.370;14.69;0.36;
45.380;14.37;0.77;
45.390;13.81;0.85;
45.400;13.61;1.15;
45.410;13.99;0.98;
45.420;14.32;0.47;
45.430;14.61;0.42;
45.440;14.92;0.10;
45.450;15.51;-0.20;
45.460;15.72;-0.55;
45.470;16.04;-0.89;
45.480;16.34;-0.94;
45.490;16.23;-0.65;
45.500;15.86;-0.46;
45.510;15.54;-0.56;
45.520;15.53;-0.47;
45.530;15.23;-0.22;
45.540;15.21;-0.09;
45.550;15.14;-0.03;
45.560;14.81;0.13;
45.570;14.57;0.39;
45.580;14.22;0.66;
45.590;13.90;0.91;
45.600;13.55;1.14;
45.610;13.87;1.07;
45.620;14.37;0.59;
45.630;14.47;0.63;
45.640;14.84;0.27;
45.650;15.20;-0.29;
45.660;15.70;-0.45;
45.670;15.92;-0.63;
45.680;15.99;-0.71;
45.690;15.87;-0.73;
45.700;15.47;-0.48;
45.710;15.52;-0.32;
45.720;15.07;-0.20;
45.730;14.94;-0.15;
45.740;14.91;-0.04;
45.750;14.54;0.07;
45.760;14.45;0.22;
45.770;14.21;0.40;
45.780;13.89;0.61;
45.790;13.35;0.94;
45.800;13.28;1.27;
45.810;13.38;0.97;
45.820;13.74;0.52;
45.830;14.01;0.42;
45.840;14.15;0.17;
45.850;14.60;-0.16;
45.860;15.05;-0.48;
45.870;15.33;-0.70;
45.880;15.40;-0.87;
45.890;15.13;-0.65;
45.900;14.96;-0.61;
45.910;14.76;-0.61;
45.920;14.25;-0.19;
45.930;14.12;-0.09;
45.940;14.06;-0.20;
45.950;13.83;0.00;
45.960;13.39;0.12;
45.970;13.17;0.45;
45.980;12.76;0.76;
45.990;12.36;1.02;
46.000;12.21;1.13;
46.010;12.28;0.98;
46.020;12.68;0.59;
46.030;12.81;0.36;
46.040;12.91;0.34;
46.050;13.49;-0.17;
46.060;13.92;-0.39;
46.070;14.11;-0.75;
46.080;14.16;-0.87;
46.090;13.90;-0.70;
46.100;13.25;-0.65;
46.110;13.04;-0.51;
46.120;12.79;-0.26;
46.130;12.42;-0.20;
46.140;12.44;-0.18;
46.150;12.09;0.06;
46.160;11.87;0.13;
46.170;11.61;0.38;
46.180;11.32;0.51;
46.190;10.68;0.93;
46.200;10.27;1.15;
46.210;10.38;0.86;
46.220;10.80;0.73;
46.230;11.15;0.40;
46.240;11.23;0.23;
46.250;11.81;-0.14;
46.260;12.07;-0.56;
46.270;11.88;-0.75;
46.280;12.02;-0.87;
46.290;12.03;-0.82;
46.300;11.66;-0.72;
46.310;11.22;-0.42;
46.320;11.02;-0.42;
46.330;10.77;-0.18;
46.340;10.49;-0.05;
46.350;10.19;-0.06;
46.360;10.03;0.22;
46.370;9.86;0.38;
46.380;9.35;0.62;
46.390;8.88;0.72;
46.400;8.43;1.00;
46.410;8.56;1.03;
46.420;9.02;0.65;
46.430;9.24;0.58;
46.440;9.54;0.10;
46.450;9.87;-0.39;
46.460;10.18;-0.51;
46.470;10.43;-0.73;
46.480;10.39;-0.73;
46.490;10.12;-0.72;
46.500;9.86;-0.63;
46.510;9.63;-0.41;
46.520;9.32;-0.35;
46.530;9.24;-0.24;
46.540;8.92;-0.11;
46.550;8.68;0.10;
46.560;8.56;0.27;
46.570;8.24;0.52;
46.580;7.74;0.71;
46.590;7.06;0.89;
46.600;6.91;1.19;
46.610;7.17;0.90;
46.620;7.43;0.62;
46.630;7.73;0.43;
46.640;7.79;0.20;
46.650;8.26;-0.12;
46.660;8.74;-0.41;
46.670;8.69;-0.71;
46.680;8.84;-0.68;
46.690;8.58;-0.80;
46.700;8.20;-0.56;
46.710;7.87;-0.18;
46.720;7.46;-0.34;
46.730;7.20;-0.03;
46.740;6.94;-0.03;
46.750;6.63;0.21;
46.760;6.36;0.40;
46.770;6.12;0.41;
46.780;5.91;0.54;
46.790;5.22;1.07;
46.800;4.89;1.19;
46.810;5.02;1.01;
46.820;5.36;0.70;
46.830;5.69;0.38;
46.840;5.75;0.24;
46.850;6.07;-0.18;
46.860;6.37;-0.47;
46.870;6.79;-0.82;
46.880;6.72;-0.75;
46.890;6.33;-0.68;
46.900;6.05;-0.52;
46.910;5.86;-0.43;
46.920;5.44;-0.30;
46.930;5.28;-0.19;
46.940;5.01;-0.05;
46.950;4.77;-0.01;
46.960;4.42;0.22;
46.970;4.13;0.48;
46.980;3.95;0.66;
46.990;3.17;1.03;
47.000;2.94;1.19;
47.010;3.00;0.99;
47.020;3.52;0.54;
47.030;3.82;0.20;
47.040;3.97;-0.01;
47.050;4.37;-0.02;
47.060;4.72;-0.46;
47.070;4.85;-0.73;
47.080;4.81;-0.94;
47.090;4.65;-0.87;
47.100;4.35;-0.62;
47.110;4.20;-0.49;
47.120;3.85;-0.39;
47.130;3.63;-0.21;
47.140;3.28;-0.06;
47.150;3.15;-0.13;
47.160;2.94;-0.01;
47.170;2.76;0.37;
47.180;2.35;0.41;
47.190;1.94;0.85;
47.200;1.84;1.23;
47.210;1.81;0.74;
47.220;2.36;0.55;
47.230;2.52;0.13;
47.240;2.80;0.03;
47.250;3.04;-0.34;
47.260;3.47;-0.77;
47.270;3.80;-1.04;
47.280;3.75;-1.01;
47.290;3.56;-0.87;
47.300;3.10;-0.81;
47.310;2.92;-0.65;
47.320;2.74;-0.53;
47.330;2.56;-0.35;
47.340;2.35;-0.27;
47.350;2.24;-0.09;
47.360;1.99;0.09;
47.370;1.64;0.19;
47.380;1.33;0.33;
47.390;1.00;0.86;
47.400;0.64;0.91;
47.410;0.86;0.78;
47.420;1.26;0.33;
47.430;1.53;0.08;
47.440;1.73;-0.28;
47.450;2.14;-0.69;
47.460;2.47;-0.86;
47.470;2.53;-1.03;
47.480;2.84;-1.22;
47.490;2.60;-1.14;
47.500;2.56;-0.92;
47.510;2.19;-0.74;
47.520;1.79;-0.46;
47.530;1.83;-0.71;
47.540;1.64;-0.45;
47.550;1.28;-0.35;
47.560;0.96;-0.15;
47.570;0.84;-0.05;
47.580;0.58;0.25;
47.590;0.13;0.59;
47.600;-0.29;0.61;
47.610;0.22;0.59;
47.620;0.63;0.12;
47.630;0.94;-0.01;
47.640;1.19;-0.19;
47.650;1.66;-0.66;
47.660;2.25;-1.01;
47.670;2.35;-1.18;
47.680;2.52;-1.31;
47.690;2.20;-1.09;
47.700;2.11;-1.05;
47.710;1.89;-0.87;
47.720;1.52;-0.50;
47.730;1.48;-0.49;
47.740;1.35;-0.43;
47.750;1.12;-0.34;
47.760;1.11;-0.14;
47.770;0.74;-0.03;
47.780;0.40;0.17;
47.790;0.11;0.62;
47.800;-0.13;0.68;
47.810;0.18;0.67;
47.820;0.57;0.35;
47.830;0.88;0.00;
47.840;1.10;-0.06;
47.850;1.73;-0.58;
47.860;2.18;-0.91;
47.870;2.21;-1.10;
47.880;2.50;-1.18;
47.890;2.25;-1.03;
47.900;1.84;-0.92;
47.910;1.82;-0.87;
47.920;1.62;-0.60;
47.930;1.52;-0.51;
47.940;1.23;-0.26;
47.950;1.03;-0.27;
47.960;0.74;-0.29;
47.970;0.98;0.02;
47.980;0.48;0.30;
47.990;-0.09;0.88;
48.000;-0.23;0.90;
48.010;-0.03;0.80;
48.020;0.52;0.32;
48.030;0.79;0.00;
48.040;1.18;-0.16;
48.050;1.38;-0.43;
48.060;1.98;-0.80;
48.070;2.05;-0.98;
48.080;2.19;-0.96;
48.090;1.88;-1.14;
48.100;1.66;-0.84;
48.110;1.56;-0.67;
48.120;1.33;-0.51;
48.130;1.21;-0.55;
48.140;1.03;-0.40;
48.150;0.80;-0.17;
48.160;0.66;-0.12;
48.170;0.42;0.08;
48.180;0.16;0.38;
48.190;-0.20;0.68;
48.200;-0.69;0.88;
48.210;-0.51;0.72;
48.220;-0.11;0.34;
48.230;0.49;0.16;
48.240;0.60;-0.16;
48.250;1.12;-0.45;
48.260;1.37;-0.77;
48.270;1.61;-0.98;
48.280;1.78;-1.08;
48.290;1.43;-1.06;
48.300;1.33;-0.85;
48.310;1.09;-0.61;
48.320;0.76;-0.43;
48.330;0.57;-0.51;
48.340;0.50;-0.30;
48.350;0.15;-0.04;
48.360;-0.00;-0.06;
48.370;-0.18;0.09;
48.380;-0.54;0.28;
48.390;-1.10;0.75;
48.400;-1.35;1.00;
48.410;-0.96;0.60;
48.420;-0.56;0.17;
48.430;-0.30;0.06;
48.440;-0.10;-0.09;
48.450;0.41;-0.55;
48.460;0.86;-0.89;
48.470;1.11;-1.14;
48.480;1.12;-1.08;
48.490;0.81;-1.06;
48.500;0.62;-0.91;
48.510;0.50;-0.59;
48.520;0.29;-0.58;
48.530;0.07;-0.54;
48.540;0.06;-0.44;
48.550;-0.11;-0.16;
48.560;-0.46;0.05;
48.570;-0.73;-0.00;
48.580;-1.01;0.40;
48.590;-1.38;0.80;
48.600;-1.54;0.79;
48.610;-1.48;0.67;
48.620;-0.96;0.30;
48.630;-0.70;0.18;
48.640;-0.47;-0.00;
48.650;-0.11;-0.34;
48.660;0.41;-0.76;
48.670;0.75;-1.06;
48.680;0.70;-1.00;
48.690;0.68;-0.94;
48.700;0.18;-0.75;
48.710;0.04;-0.62;
48.720;0.06;-0.37;
48.730;-0.12;-0.30;
48.740;-0.34;-0.25;
48.750;-0.52;0.03;
