Time: 08.07.2022 13:57:23;;;
Team: test;;;
Athlete name: Lasse I;;;
Device: NORDIC07;;;
Comment: ;;;
#SampleTime[s];Force_left[N];Force_right[N];
0.2070;0.84;-0.57;
0.2080;0.97;-0.92;
0.2090;0.92;-0.72;
0.2100;0.71;-0.65;
0.2110;0.52;-0.63;
0.2120;0.33;-0.23;
0.2130;0.14;-0.29;
0.2140;0.11;-0.17;
0.2150;-0.03;0.03;
0.2160;-0.38;0.25;
0.2170;-0.48;0.31;
0.2180;-0.67;0.43;
0.2190;-1.08;0.78;
0.2200;-1.36;0.86;
0.2210;-1.20;0.90;
0.2220;-0.78;0.66;
0.2230;-0.49;0.30;
0.2240;-0.31;0.25;
0.2250;0.12;-0.11;
0.2260;0.53;-0.55;
0.2270;0.89;-0.73;
0.2280;1.10;-0.97;
0.2290;1.06;-0.70;
0.2300;0.66;-0.49;
0.2310;0.45;-0.57;
0.2320;0.34;-0.40;
0.2330;0.23;-0.20;
0.2340;0.11;-0.21;
0.2350;-0.28;0.01;
0.2360;-0.32;0.08;
0.2370;-0.30;0.18;
0.2380;-0.68;0.47;
0.2390;-1.08;0.79;
0.2400;-1.37;1.01;
0.2410;-1.11;0.93;
0.2420;-0.80;0.67;
0.2430;-0.50;0.22;
0.2440;-0.18;0.28;
0.2450;0.09;-0.09;
0.2460;0.70;-0.56;
0.2470;0.85;-0.74;
0.2480;0.99;-0.97;
0.2490;0.86;-0.88;
0.2500;0.74;-0.73;
0.2510;0.38;-0.50;
0.2520;0.19;-0.38;
0.2530;0.25;-0.27;
0.2540;0.08;-0.10;
0.2550;-0.02;-0.07;
0.2560;-0.31;0.26;
0.2570;-0.34;0.25;
0.2580;-0.61;0.41;
0.2590;-1.06;0.79;
0.2600;-1.41;0.92;
0.2610;-1.31;0.96;
0.2620;-0.63;0.48;
0.2630;-0.41;0.31;
0.2640;-0.25;0.07;
0.2650;0.23;-0.13;
0.2660;0.69;-0.35;
0.2670;1.11;-0.81;
0.2680;1.13;-0.86;
0.2690;0.83;-0.64;
0.2700;0.62;-0.52;
0.2710;0.58;-0.43;
0.2720;0.23;-0.36;
0.2730;0.14;-0.25;
0.2740;0.10;-0.23;
0.2750;-0.12;-0.05;
0.2760;-0.21;0.26;
0.2770;-0.39;0.25;
