Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.2070;-0.12;0.28;
0.2080;-0.13;0.44;
0.2090;-0.52;1.44;
0.2100;-0.46;1.48;
0.2110;-0.49;1.23;
0.2120;-0.37;0.92;
0.2130;-0.18;0.32;
0.2140;-0.14;0.15;
0.2150;0.13;-0.50;
0.2160;0.20;-0.97;
0.2170;0.31;-1.25;
0.2180;0.50;-1.44;
0.2190;0.35;-0.93;
0.2200;0.26;-0.57;
0.2210;0.12;-0.56;
0.2220;-0.05;-0.16;
0.2230;-0.10;-0.18;
0.2240;-0.21;0.03;
0.2250;0.00;-0.06;
0.2260;0.02;0.15;
0.2270;-0.14;0.47;
0.2280;-0.20;0.55;
0.2290;-0.41;1.28;
0.2300;-0.42;1.47;
0.2310;-0.24;1.29;
0.2320;-0.29;0.80;
0.2330;-0.27;0.26;
0.2340;0.10;0.11;
0.2350;0.14;-0.44;
0.2360;0.31;-1.00;
0.2370;0.38;-1.27;
0.2380;0.35;-1.63;
0.2390;0.34;-0.90;
0.2400;0.24;-0.51;
0.2410;0.08;-0.44;
0.2420;0.01;-0.35;
0.2430;0.10;-0.32;
0.2440;-0.06;0.01;
0.2450;-0.10;0.11;
0.2460;-0.04;0.33;
0.2470;0.01;0.26;
0.2480;-0.22;0.63;
0.2490;-0.51;1.36;
0.2500;-0.58;1.47;
0.2510;-0.48;1.34;
0.2520;-0.19;0.92;
0.2530;-0.14;0.45;
0.2540;-0.31;0.19;
0.2550;0.18;-0.36;
0.2560;0.32;-1.02;
0.2570;0.55;-1.31;
0.2580;0.64;-1.66;
0.2590;0.24;-1.07;
0.2600;0.10;-0.43;
0.2610;0.11;-0.54;
0.2620;0.15;-0.23;
0.2630;-0.10;-0.20;
0.2640;-0.08;-0.06;
0.2650;-0.31;-0.01;
0.2660;-0.15;0.44;
0.2670;-0.10;0.29;
0.2680;-0.16;0.78;
0.2690;-0.37;1.40;
0.2700;-0.61;1.46;
0.2710;-0.32;1.44;
0.2720;-0.34;0.66;
0.2730;-0.16;0.49;
0.2740;-0.15;-0.02;
0.2750;-0.02;-0.29;
0.2760;0.28;-1.19;
0.2770;0.32;-1.28;
0.2780;0.48;-1.42;
0.2790;0.23;-1.18;
0.2800;0.20;-0.51;
0.2810;0.26;-0.59;
0.2820;-0.02;-0.26;
0.2830;0.19;-0.23;
0.2840;0.03;0.18;
0.2850;-0.11;0.03;
0.2860;-0.07;0.38;
0.2870;-0.22;0.20;
0.2880;-0.32;0.42;
0.2890;-0.49;1.31;
0.2900;-0.50;1.46;
0.2910;-0.49;1.44;
0.2920;-0.27;0.77;
0.2930;-0.18;0.42;
0.2940;-0.20;0.14;
0.2950;0.21;-0.33;
0.2960;0.29;-1.02;
0.2970;0.39;-1.33;
0.2980;0.60;-1.55;
0.2990;0.37;-1.00;
0.3000;0.21;-0.51;
0.3010;0.18;-0.51;
0.3020;-0.01;-0.24;
0.3030;-0.04;-0.22;
0.3040;0.04;0.00;
0.3050;-0.06;-0.03;
0.3060;-0.16;0.26;
0.3070;-0.14;0.27;
0.3080;-0.40;0.46;
0.3090;-0.45;1.29;
0.3100;-0.52;1.45;
0.3110;-0.57;1.22;
0.3120;-0.24;0.97;
0.3130;-0.07;0.29;
0.3140;-0.07;0.23;
