Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
16.0500;0.10;-0.33;
16.0510;-0.21;0.14;
16.0520;-0.26;0.29;
16.0530;-0.27;0.38;
16.0540;-0.36;0.43;
16.0550;-0.42;0.66;
16.0560;-0.37;0.92;
16.0570;-0.44;0.88;
16.0580;-0.48;1.00;
16.0590;-0.63;1.45;
16.0600;-0.84;2.27;
16.0610;-0.81;2.23;
16.0620;-0.82;2.11;
16.0630;-0.78;1.68;
16.0640;-0.60;1.04;
16.0650;-0.47;0.85;
16.0660;-0.26;0.32;
16.0670;0.04;-0.38;
16.0680;-0.00;-0.72;
16.0690;-0.06;-0.87;
16.0700;-0.18;-0.25;
16.0710;-0.23;0.35;
16.0720;-0.17;0.28;
16.0730;-0.34;0.46;
16.0740;-0.27;0.62;
16.0750;-0.36;0.68;
16.0760;-0.48;0.82;
16.0770;-0.52;1.13;
16.0780;-0.47;0.98;
16.0790;-0.58;1.62;
16.0800;-0.96;2.09;
16.0810;-0.94;2.02;
16.0820;-0.85;2.02;
16.0830;-0.67;1.52;
16.0840;-0.57;0.99;
16.0850;-0.40;0.79;
16.0860;-0.19;0.24;
16.0870;-0.05;-0.30;
16.0880;-0.06;-0.69;
16.0890;0.25;-0.95;
16.0900;-0.04;-0.11;
16.0910;-0.29;0.21;
16.0920;-0.16;0.19;
16.0930;-0.36;0.44;
16.0940;-0.24;0.53;
16.0950;-0.49;0.65;
16.0960;-0.31;0.94;
16.0970;-0.45;1.01;
16.0980;-0.55;0.95;
16.0990;-0.58;1.48;
16.1000;-0.83;2.13;
16.1010;-0.81;2.33;
16.1020;-0.85;2.14;
16.1030;-0.67;1.48;
16.1040;-0.61;1.03;
16.1050;-0.43;0.68;
16.1060;-0.10;0.01;
16.1070;-0.01;-0.51;
16.1080;0.11;-0.87;
16.1090;0.12;-0.95;
16.1100;-0.05;-0.25;
16.1110;-0.13;0.20;
16.1120;-0.38;0.26;
16.1130;-0.27;0.41;
16.1140;-0.50;0.58;
16.1150;-0.48;0.74;
16.1160;-0.27;0.90;
16.1170;-0.47;1.15;
16.1180;-0.43;0.88;
16.1190;-0.69;1.72;
16.1200;-0.84;2.09;
16.1210;-0.98;2.17;
16.1220;-0.85;2.03;
16.1230;-0.55;1.40;
16.1240;-0.48;1.04;
16.1250;-0.41;0.50;
16.1260;-0.22;0.21;
16.1270;-0.11;-0.60;
16.1280;0.05;-0.73;
16.1290;0.08;-0.82;
16.1300;-0.08;-0.38;
16.1310;-0.09;0.14;
16.1320;-0.32;0.40;
16.1330;-0.27;0.61;
16.1340;-0.36;0.47;
16.1350;-0.26;0.82;
16.1360;-0.40;1.01;
16.1370;-0.61;1.09;
16.1380;-0.54;1.02;
16.1390;-0.61;1.46;
16.1400;-0.76;2.45;
16.1410;-0.93;2.27;
16.1420;-0.83;1.93;
16.1430;-0.63;1.58;
16.1440;-0.48;0.92;
16.1450;-0.39;0.99;
16.1460;-0.21;0.18;
16.1470;-0.09;-0.48;
16.1480;0.15;-0.77;
16.1490;0.13;-0.80;
16.1500;-0.06;-0.12;
16.1510;-0.25;0.08;
16.1520;-0.32;0.21;
16.1530;-0.35;0.43;
16.1540;-0.21;0.63;
16.1550;-0.38;0.71;
16.1560;-0.53;0.84;
16.1570;-0.51;1.15;
16.1580;-0.61;1.10;
16.1590;-0.56;1.52;
16.1600;-0.90;2.09;
16.1610;-0.95;2.23;
16.1620;-0.80;2.01;
16.1630;-0.66;1.38;
16.1640;-0.44;1.14;
16.1650;-0.35;0.66;
16.1660;-0.19;0.03;
16.1670;0.10;-0.37;
16.1680;0.23;-0.93;
16.1690;0.15;-1.01;
16.1700;-0.05;-0.20;
16.1710;-0.23;0.16;
16.1720;-0.27;0.37;
16.1730;-0.29;0.49;
16.1740;-0.33;0.62;
16.1750;-0.32;0.77;
16.1760;-0.44;0.85;
16.1770;-0.50;1.12;
16.1780;-0.53;1.08;
16.1790;-0.69;1.58;
16.1800;-0.91;2.31;
16.1810;-0.83;2.37;
16.1820;-0.69;1.85;
16.1830;-0.54;1.42;
16.1840;-0.35;0.94;
16.1850;-0.33;0.71;
16.1860;-0.22;0.11;
16.1870;-0.20;-0.51;
16.1880;0.09;-0.82;
16.1890;0.12;-0.92;
16.1900;-0.13;-0.05;
16.1910;-0.15;0.22;
16.1920;-0.14;0.34;
16.1930;-0.31;0.52;
16.1940;-0.45;0.49;
16.1950;-0.22;0.64;
16.1960;-0.38;0.84;
16.1970;-0.53;0.98;
16.1980;-0.37;0.92;
16.1990;-0.71;1.66;
16.2000;-0.93;2.20;
16.2010;-0.86;2.23;
16.2020;-0.83;2.07;
16.2030;-0.73;1.40;
16.2040;-0.51;0.94;
16.2050;-0.38;0.65;
16.2060;-0.20;-0.09;
16.2070;0.10;-0.65;
16.2080;0.11;-0.75;
16.2090;-0.11;-0.82;
16.2100;-0.13;-0.34;
16.2110;-0.15;0.11;
16.2120;-0.37;0.28;
16.2130;-0.37;0.41;
16.2140;-0.35;0.68;
16.2150;-0.29;0.78;
16.2160;-0.40;0.89;
16.2170;-0.43;1.08;
16.2180;-0.58;0.90;
16.2190;-0.70;1.56;
16.2200;-0.82;2.30;
16.2210;-0.94;2.20;
16.2220;-0.78;1.98;
16.2230;-0.67;1.33;
16.2240;-0.34;0.95;
16.2250;-0.36;0.65;
16.2260;-0.13;-0.00;
16.2270;0.11;-0.39;
16.2280;0.12;-0.83;
16.2290;-0.02;-0.71;
16.2300;-0.16;0.00;
16.2310;-0.18;0.15;
16.2320;-0.17;0.33;
16.2330;-0.25;0.47;
16.2340;-0.45;0.45;
16.2350;-0.35;0.79;
16.2360;-0.35;0.86;
16.2370;-0.41;1.07;
16.2380;-0.51;1.17;
16.2390;-0.62;1.65;
16.2400;-0.88;2.12;
16.2410;-0.87;2.23;
16.2420;-0.85;1.94;
16.2430;-0.48;1.22;
16.2440;-0.36;1.17;
16.2450;-0.45;0.87;
16.2460;-0.10;0.08;
16.2470;-0.12;-0.26;
16.2480;-0.06;-0.80;
16.2490;0.18;-0.88;
16.2500;-0.13;-0.18;
16.2510;-0.31;0.06;
16.2520;-0.17;0.36;
16.2530;-0.28;0.43;
16.2540;-0.36;0.61;
16.2550;-0.26;0.80;
16.2560;-0.36;0.84;
16.2570;-0.44;0.90;
16.2580;-0.57;0.94;
16.2590;-0.95;1.50;
16.2600;-0.77;2.17;
16.2610;-0.97;2.25;
16.2620;-0.85;1.95;
16.2630;-0.59;1.45;
16.2640;-0.57;0.83;
16.2650;-0.31;0.67;
16.2660;-0.03;-0.02;
16.2670;-0.10;-0.57;
16.2680;0.07;-0.87;
16.2690;0.12;-0.81;
16.2700;-0.23;0.04;
16.2710;-0.18;-0.02;
16.2720;-0.24;0.26;
16.2730;-0.25;0.51;
16.2740;-0.46;0.56;
16.2750;-0.36;0.70;
16.2760;-0.43;0.81;
16.2770;-0.48;1.22;
16.2780;-0.48;0.97;
16.2790;-0.70;1.77;
16.2800;-0.83;2.26;
16.2810;-0.85;2.12;
16.2820;-0.76;1.87;
16.2830;-0.67;1.22;
16.2840;-0.53;0.99;
16.2850;-0.30;0.58;
16.2860;-0.07;-0.01;
16.2870;0.09;-0.48;
16.2880;0.05;-0.67;
16.2890;0.16;-0.76;
16.2900;-0.12;-0.10;
16.2910;-0.42;0.22;
16.2920;-0.26;0.39;
16.2930;-0.36;0.56;
16.2940;-0.32;0.56;
16.2950;-0.31;0.90;
16.2960;-0.33;0.79;
16.2970;-0.63;0.96;
16.2980;-0.57;1.00;
16.2990;-0.68;1.79;
16.3000;-1.00;2.43;
16.3010;-0.99;2.21;
16.3020;-0.91;1.91;
16.3030;-0.53;1.30;
16.3040;-0.63;0.96;
16.3050;-0.32;0.52;
16.3060;0.04;0.02;
16.3070;-0.05;-0.67;
16.3080;0.12;-0.79;
16.3090;-0.04;-0.70;
16.3100;-0.14;-0.09;
16.3110;-0.11;0.19;
16.3120;-0.25;0.43;
16.3130;-0.23;0.51;
16.3140;-0.30;0.61;
16.3150;-0.35;0.71;
16.3160;-0.44;0.67;
16.3170;-0.46;1.03;
16.3180;-0.28;0.99;
16.3190;-0.67;1.87;
16.3200;-0.87;2.13;
16.3210;-0.71;2.15;
16.3220;-0.78;1.82;
16.3230;-0.49;1.49;
16.3240;-0.42;1.03;
16.3250;-0.36;0.53;
16.3260;-0.07;0.07;
16.3270;-0.03;-0.50;
16.3280;0.12;-0.77;
16.3290;0.19;-0.91;
16.3300;-0.06;-0.08;
16.3310;-0.15;0.13;
16.3320;-0.31;0.37;
16.3330;-0.38;0.52;
16.3340;-0.43;0.73;
16.3350;-0.55;0.85;
16.3360;-0.49;0.92;
16.3370;-0.47;1.10;
16.3380;-0.61;1.08;
16.3390;-0.83;1.73;
16.3400;-0.98;2.13;
16.3410;-0.90;2.36;
16.3420;-0.68;1.79;
16.3430;-0.63;1.32;
16.3440;-0.46;0.91;
16.3450;-0.30;0.64;
16.3460;-0.03;0.04;
16.3470;0.07;-0.61;
16.3480;0.09;-0.71;
16.3490;0.01;-0.78;
16.3500;-0.26;0.12;
16.3510;-0.34;0.05;
16.3520;-0.25;0.27;
16.3530;-0.29;0.54;
16.3540;-0.42;0.60;
16.3550;-0.33;0.78;
16.3560;-0.36;1.02;
16.3570;-0.56;0.98;
16.3580;-0.65;1.01;
16.3590;-0.91;1.79;
16.3600;-0.97;2.15;
16.3610;-0.81;2.32;
16.3620;-0.92;1.90;
16.3630;-0.54;1.31;
16.3640;-0.60;1.00;
16.3650;-0.27;0.56;
16.3660;-0.11;-0.24;
16.3670;-0.19;-0.45;
16.3680;0.16;-0.80;
16.3690;0.13;-0.52;
16.3700;-0.10;-0.07;
16.3710;-0.25;0.12;
16.3720;-0.15;0.33;
16.3730;-0.36;0.44;
16.3740;-0.19;0.70;
16.3750;-0.37;0.75;
16.3760;-0.53;1.02;
16.3770;-0.60;1.05;
16.3780;-0.56;1.04;
16.3790;-0.58;1.76;
16.3800;-0.91;2.48;
16.3810;-0.89;2.16;
16.3820;-0.71;1.87;
16.3830;-0.53;1.32;
16.3840;-0.47;0.97;
16.3850;-0.35;0.80;
16.3860;-0.12;-0.10;
16.3870;0.06;-0.57;
16.3880;0.12;-0.94;
16.3890;0.09;-0.77;
16.3900;-0.34;0.09;
16.3910;-0.32;0.07;
16.3920;-0.24;0.31;
16.3930;-0.35;0.54;
16.3940;-0.12;0.51;
16.3950;-0.37;0.81;
16.3960;-0.42;0.93;
16.3970;-0.37;1.06;
16.3980;-0.57;1.16;
16.3990;-0.67;1.86;
16.4000;-0.85;2.28;
16.4010;-0.77;2.09;
16.4020;-0.72;1.79;
16.4030;-0.64;1.30;
16.4040;-0.48;1.09;
16.4050;-0.22;0.63;
16.4060;-0.09;-0.06;
16.4070;0.16;-0.52;
16.4080;0.22;-0.92;
16.4090;-0.04;-0.77;
16.4100;-0.12;-0.01;
16.4110;-0.23;0.13;
16.4120;-0.44;0.28;
16.4130;-0.41;0.63;
16.4140;-0.13;0.49;
16.4150;-0.32;0.78;
16.4160;-0.51;0.94;
16.4170;-0.56;0.94;
16.4180;-0.59;1.14;
16.4190;-0.89;1.78;
16.4200;-0.96;2.24;
16.4210;-0.93;2.12;
16.4220;-0.68;1.81;
16.4230;-0.61;1.34;
16.4240;-0.47;0.86;
16.4250;-0.25;0.66;
16.4260;-0.16;0.04;
16.4270;0.16;-0.79;
16.4280;-0.07;-0.74;
16.4290;0.04;-0.64;
16.4300;-0.26;0.02;
16.4310;-0.08;0.13;
16.4320;-0.25;0.45;
16.4330;-0.30;0.59;
16.4340;-0.32;0.62;
16.4350;-0.64;0.87;
16.4360;-0.36;0.85;
16.4370;-0.55;1.01;
16.4380;-0.63;1.08;
16.4390;-0.85;1.90;
16.4400;-0.80;2.18;
16.4410;-0.88;2.27;
16.4420;-0.79;1.72;
16.4430;-0.62;1.29;
16.4440;-0.47;0.98;
16.4450;-0.47;0.71;
16.4460;-0.19;-0.16;
16.4470;0.06;-0.86;
16.4480;0.16;-0.77;
16.4490;0.04;-0.75;
16.4500;-0.21;0.08;
16.4510;-0.09;0.09;
16.4520;-0.21;0.28;
16.4530;-0.41;0.31;
16.4540;-0.39;0.61;
16.4550;-0.35;0.87;
16.4560;-0.54;0.83;
16.4570;-0.45;1.14;
16.4580;-0.60;1.07;
16.4590;-0.87;1.92;
16.4600;-1.02;2.22;
16.4610;-0.90;2.22;
16.4620;-0.79;1.95;
16.4630;-0.58;1.07;
16.4640;-0.51;0.88;
16.4650;-0.21;0.54;
16.4660;-0.04;-0.09;
16.4670;-0.10;-0.79;
16.4680;0.12;-0.95;
16.4690;0.02;-0.63;
16.4700;-0.13;0.02;
16.4710;-0.33;0.11;
16.4720;-0.36;0.43;
16.4730;-0.26;0.51;
16.4740;-0.51;0.39;
16.4750;-0.56;0.95;
16.4760;-0.40;0.87;
16.4770;-0.54;1.10;
16.4780;-0.63;1.22;
16.4790;-0.81;1.88;
16.4800;-0.80;2.14;
16.4810;-0.89;2.23;
16.4820;-0.70;1.87;
16.4830;-0.54;1.06;
16.4840;-0.49;1.03;
16.4850;-0.34;0.51;
16.4860;-0.09;-0.23;
16.4870;0.01;-0.59;
16.4880;0.07;-0.76;
16.4890;0.05;-0.71;
16.4900;-0.13;-0.01;
16.4910;-0.07;0.11;
16.4920;-0.29;0.44;
16.4930;-0.33;0.65;
16.4940;-0.32;0.60;
16.4950;-0.34;0.79;
16.4960;-0.54;1.04;
16.4970;-0.47;0.92;
16.4980;-0.64;1.17;
16.4990;-0.93;1.95;
16.5000;-0.98;2.25;
16.5010;-0.88;2.32;
16.5020;-0.62;1.67;
16.5030;-0.57;1.04;
16.5040;-0.52;0.98;
16.5050;-0.47;0.68;
16.5060;-0.05;-0.16;
16.5070;-0.02;-0.70;
16.5080;0.07;-1.02;
16.5090;0.12;-0.45;
16.5100;-0.23;0.02;
16.5110;-0.28;0.15;
16.5120;-0.27;0.46;
16.5130;-0.39;0.48;
16.5140;-0.43;0.74;
16.5150;-0.38;0.83;
16.5160;-0.66;1.10;
16.5170;-0.64;1.14;
16.5180;-0.52;1.15;
16.5190;-0.92;1.91;
16.5200;-0.95;2.30;
16.5210;-0.88;2.19;
16.5220;-0.74;1.79;
16.5230;-0.46;1.16;
16.5240;-0.43;0.91;
16.5250;-0.22;0.52;
16.5260;-0.09;-0.26;
16.5270;-0.04;-0.58;
16.5280;0.04;-0.79;
16.5290;-0.05;-0.64;
16.5300;-0.09;-0.02;
16.5310;-0.06;0.15;
16.5320;-0.29;0.31;
16.5330;-0.32;0.53;
16.5340;-0.20;0.67;
16.5350;-0.32;0.80;
16.5360;-0.42;0.88;
16.5370;-0.50;0.96;
16.5380;-0.49;1.20;
16.5390;-0.83;2.00;
16.5400;-0.98;2.33;
16.5410;-0.77;2.02;
16.5420;-0.86;1.84;
16.5430;-0.52;1.19;
16.5440;-0.55;0.93;
16.5450;-0.40;0.46;
16.5460;-0.12;-0.22;
16.5470;0.01;-0.60;
16.5480;0.09;-0.87;
16.5490;-0.11;-0.55;
16.5500;-0.10;-0.09;
16.5510;-0.16;0.24;
16.5520;-0.24;0.40;
16.5530;-0.36;0.43;
16.5540;-0.31;0.71;
16.5550;-0.53;0.82;
16.5560;-0.32;0.79;
16.5570;-0.51;1.08;
16.5580;-0.74;1.15;
16.5590;-0.67;1.94;
16.5600;-0.91;2.35;
16.5610;-0.90;2.30;
16.5620;-0.70;1.84;
16.5630;-0.53;1.00;
16.5640;-0.57;0.82;
16.5650;-0.18;0.50;
16.5660;-0.10;-0.31;
16.5670;-0.16;-0.62;
16.5680;0.09;-0.90;
16.5690;0.05;-0.54;
16.5700;-0.20;0.13;
16.5710;-0.10;0.08;
16.5720;-0.25;0.47;
16.5730;-0.39;0.42;
16.5740;-0.45;0.62;
16.5750;-0.32;0.64;
16.5760;-0.42;0.94;
16.5770;-0.63;0.95;
16.5780;-0.60;1.19;
16.5790;-0.83;2.11;
16.5800;-0.85;2.09;
16.5810;-0.93;2.10;
16.5820;-0.65;1.78;
16.5830;-0.59;1.26;
16.5840;-0.48;0.70;
16.5850;-0.34;0.38;
16.5860;-0.25;-0.20;
16.5870;-0.00;-0.59;
16.5880;0.08;-0.82;
16.5890;-0.00;-0.65;
16.5900;-0.18;0.37;
16.5910;-0.11;0.32;
16.5920;-0.35;0.36;
16.5930;-0.29;0.71;
16.5940;-0.40;0.47;
16.5950;-0.53;0.78;
16.5960;-0.47;1.07;
16.5970;-0.50;0.94;
16.5980;-0.65;1.14;
16.5990;-0.81;2.12;
16.6000;-0.83;2.26;
16.6010;-0.86;1.96;
16.6020;-0.65;1.69;
16.6030;-0.56;1.03;
16.6040;-0.53;0.88;
16.6050;-0.39;0.48;
16.6060;-0.12;-0.26;
16.6070;-0.01;-0.70;
16.6080;0.17;-0.83;
16.6090;0.14;-0.51;
16.6100;-0.05;0.21;
16.6110;-0.26;0.14;
16.6120;-0.43;0.48;
16.6130;-0.39;0.57;
16.6140;-0.45;0.55;
16.6150;-0.43;0.86;
16.6160;-0.44;1.13;
16.6170;-0.46;1.23;
16.6180;-0.64;1.13;
16.6190;-0.72;2.22;
16.6200;-0.77;2.26;
16.6210;-0.83;2.10;
16.6220;-0.62;1.77;
16.6230;-0.53;1.12;
16.6240;-0.47;0.89;
16.6250;-0.25;0.28;
16.6260;-0.00;-0.24;
16.6270;0.00;-0.70;
16.6280;0.13;-1.00;
16.6290;0.09;-0.43;
16.6300;-0.09;0.05;
16.6310;0.05;0.29;
16.6320;-0.20;0.55;
16.6330;-0.24;0.51;
16.6340;-0.36;0.66;
16.6350;-0.55;0.81;
16.6360;-0.48;1.08;
16.6370;-0.37;0.98;
16.6380;-0.50;1.37;
16.6390;-0.76;2.01;
16.6400;-0.91;2.22;
16.6410;-0.86;2.11;
16.6420;-0.52;1.63;
16.6430;-0.46;1.21;
16.6440;-0.35;0.96;
16.6450;-0.16;0.35;
16.6460;-0.09;-0.21;
16.6470;-0.09;-0.57;
16.6480;0.17;-1.05;
16.6490;-0.13;-0.40;
16.6500;-0.21;0.16;
16.6510;-0.17;0.17;
16.6520;-0.31;0.40;
16.6530;-0.23;0.45;
16.6540;-0.50;0.64;
16.6550;-0.40;0.81;
16.6560;-0.54;1.01;
16.6570;-0.61;0.99;
16.6580;-0.75;1.48;
16.6590;-0.93;2.03;
16.6600;-1.00;2.08;
16.6610;-0.94;2.10;
16.6620;-0.71;1.55;
16.6630;-0.47;1.08;
16.6640;-0.22;0.89;
16.6650;-0.16;0.40;
16.6660;-0.10;-0.32;
16.6670;-0.00;-0.54;
16.6680;0.02;-1.04;
16.6690;-0.10;-0.55;
16.6700;-0.17;0.13;
16.6710;-0.28;0.23;
16.6720;-0.43;0.48;
16.6730;-0.31;0.34;
16.6740;-0.33;0.66;
16.6750;-0.51;0.76;
16.6760;-0.47;1.00;
16.6770;-0.49;0.97;
16.6780;-0.59;1.33;
16.6790;-0.88;2.14;
16.6800;-0.92;2.27;
16.6810;-0.74;2.02;
16.6820;-0.59;1.34;
16.6830;-0.49;1.08;
16.6840;-0.48;0.93;
16.6850;-0.28;0.31;
16.6860;-0.10;-0.49;
16.6870;0.13;-0.64;
16.6880;0.21;-0.76;
16.6890;-0.01;-0.35;
16.6900;-0.23;0.18;
16.6910;-0.39;0.10;
16.6920;-0.26;0.37;
16.6930;-0.44;0.53;
16.6940;-0.42;0.83;
16.6950;-0.31;0.57;
16.6960;-0.63;0.77;
16.6970;-0.40;1.10;
16.6980;-0.67;1.24;
16.6990;-0.97;2.09;
16.7000;-0.91;2.25;
16.7010;-0.74;2.03;
16.7020;-0.73;1.68;
16.7030;-0.60;1.06;
16.7040;-0.40;0.94;
16.7050;-0.29;0.42;
16.7060;-0.03;-0.28;
16.7070;-0.09;-0.80;
16.7080;0.20;-1.08;
16.7090;-0.04;-0.29;
16.7100;-0.12;0.15;
16.7110;-0.05;0.10;
16.7120;-0.16;0.57;
16.7130;-0.24;0.71;
16.7140;-0.44;0.53;
16.7150;-0.39;0.98;
16.7160;-0.41;0.95;
16.7170;-0.55;0.88;
16.7180;-0.69;1.35;
16.7190;-0.82;2.00;
16.7200;-1.03;2.29;
16.7210;-0.71;2.11;
16.7220;-0.63;1.63;
16.7230;-0.71;1.18;
16.7240;-0.54;0.90;
16.7250;-0.25;0.48;
16.7260;0.08;-0.28;
16.7270;-0.04;-0.64;
16.7280;0.23;-0.92;
16.7290;0.08;-0.49;
16.7300;-0.28;0.15;
16.7310;-0.19;0.05;
16.7320;-0.36;0.50;
16.7330;-0.26;0.53;
16.7340;-0.32;0.67;
16.7350;-0.43;0.82;
16.7360;-0.45;1.11;
16.7370;-0.48;0.93;
16.7380;-0.67;1.50;
16.7390;-1.05;2.18;
16.7400;-1.06;2.22;
16.7410;-0.99;1.92;
16.7420;-0.66;1.53;
16.7430;-0.51;1.26;
16.7440;-0.46;0.78;
16.7450;-0.46;0.28;
16.7460;-0.07;-0.38;
16.7470;0.16;-0.68;
16.7480;0.06;-0.88;
16.7490;0.04;-0.20;
16.7500;-0.16;0.10;
16.7510;-0.30;0.34;
16.7520;-0.38;0.32;
16.7530;-0.11;0.51;
16.7540;-0.49;0.61;
16.7550;-0.53;0.67;
16.7560;-0.51;0.96;
16.7570;-0.39;1.01;
16.7580;-0.39;1.45;
16.7590;-0.92;2.15;
16.7600;-0.74;2.31;
16.7610;-0.79;2.09;
16.7620;-0.73;1.70;
16.7630;-0.39;0.90;
16.7640;-0.53;0.72;
16.7650;-0.31;0.21;
16.7660;0.02;-0.28;
16.7670;0.02;-0.71;
16.7680;0.29;-0.98;
16.7690;-0.07;-0.35;
16.7700;-0.27;0.25;
16.7710;-0.22;0.35;
16.7720;-0.33;0.56;
16.7730;-0.43;0.61;
16.7740;-0.38;0.81;
16.7750;-0.34;0.64;
16.7760;-0.67;0.96;
16.7770;-0.61;1.16;
16.7780;-0.69;1.30;
16.7790;-0.90;2.21;
16.7800;-0.92;2.29;
16.7810;-0.87;2.09;
16.7820;-0.68;1.40;
16.7830;-0.46;1.01;
16.7840;-0.53;1.00;
16.7850;-0.21;0.34;
16.7860;-0.13;-0.57;
16.7870;0.05;-0.92;
16.7880;0.30;-0.97;
16.7890;-0.10;-0.20;
16.7900;-0.12;0.17;
16.7910;-0.22;0.15;
16.7920;-0.31;0.61;
16.7930;-0.44;0.60;
16.7940;-0.43;0.71;
16.7950;-0.39;0.88;
16.7960;-0.51;0.94;
16.7970;-0.56;0.94;
16.7980;-0.56;1.39;
16.7990;-0.86;1.95;
16.8000;-1.01;2.31;
16.8010;-0.71;2.13;
16.8020;-0.76;1.45;
16.8030;-0.51;1.14;
16.8040;-0.50;0.97;
16.8050;-0.31;0.25;
16.8060;0.04;-0.44;
16.8070;0.06;-0.73;
16.8080;0.11;-1.01;
16.8090;-0.00;-0.30;
16.8100;-0.08;0.27;
16.8110;-0.19;0.23;
16.8120;-0.26;0.46;
16.8130;-0.20;0.46;
16.8140;-0.40;0.80;
16.8150;-0.43;0.72;
16.8160;-0.53;0.90;
16.8170;-0.50;0.96;
16.8180;-0.62;1.38;
16.8190;-0.88;2.16;
16.8200;-0.85;2.06;
16.8210;-0.84;2.14;
16.8220;-0.47;1.59;
16.8230;-0.56;1.11;
16.8240;-0.39;0.62;
16.8250;-0.28;0.18;
16.8260;-0.05;-0.45;
16.8270;0.03;-0.89;
16.8280;0.18;-0.84;
16.8290;0.10;-0.36;
16.8300;-0.33;0.05;
16.8310;-0.23;0.24;
16.8320;-0.26;0.51;
16.8330;-0.21;0.64;
16.8340;-0.39;0.76;
16.8350;-0.37;0.68;
16.8360;-0.51;1.10;
16.8370;-0.40;1.10;
16.8380;-0.65;1.44;
16.8390;-0.96;2.23;
16.8400;-0.94;2.18;
16.8410;-0.78;1.96;
16.8420;-0.70;1.55;
16.8430;-0.64;1.02;
16.8440;-0.53;0.96;
16.8450;-0.34;0.30;
16.8460;-0.05;-0.50;
16.8470;-0.00;-0.76;
16.8480;0.15;-0.83;
16.8490;-0.11;-0.31;
16.8500;-0.03;0.28;
16.8510;-0.19;0.31;
16.8520;-0.26;0.38;
16.8530;-0.35;0.54;
16.8540;-0.48;0.65;
16.8550;-0.28;0.80;
16.8560;-0.39;1.06;
16.8570;-0.43;1.01;
16.8580;-0.41;1.44;
16.8590;-0.82;2.33;
16.8600;-0.99;2.28;
16.8610;-0.73;1.98;
16.8620;-0.68;1.56;
16.8630;-0.44;1.13;
16.8640;-0.38;0.68;
16.8650;-0.16;0.14;
16.8660;-0.02;-0.41;
16.8670;0.08;-0.62;
16.8680;0.09;-0.94;
16.8690;-0.19;-0.41;
16.8700;-0.31;0.15;
16.8710;-0.32;0.11;
16.8720;-0.39;0.53;
16.8730;-0.37;0.58;
16.8740;-0.48;0.76;
16.8750;-0.53;0.91;
16.8760;-0.44;1.04;
16.8770;-0.58;0.99;
16.8780;-0.72;1.56;
16.8790;-0.93;2.12;
16.8800;-0.89;2.15;
16.8810;-0.83;1.95;
16.8820;-0.70;1.56;
16.8830;-0.47;1.10;
16.8840;-0.30;0.81;
16.8850;-0.07;0.30;
16.8860;-0.05;-0.46;
16.8870;0.03;-0.63;
16.8880;0.28;-0.87;
16.8890;-0.06;-0.08;
16.8900;-0.23;0.12;
16.8910;-0.42;0.17;
16.8920;-0.18;0.44;
16.8930;-0.37;0.42;
16.8940;-0.48;0.82;
16.8950;-0.39;0.80;
16.8960;-0.54;1.07;
16.8970;-0.43;1.11;
16.8980;-0.78;1.75;
16.8990;-0.91;2.16;
16.9000;-1.13;2.23;
16.9010;-0.85;2.02;
16.9020;-0.74;1.51;
16.9030;-0.54;1.16;
16.9040;-0.51;0.52;
16.9050;-0.17;0.17;
16.9060;-0.02;-0.46;
16.9070;0.05;-0.73;
16.9080;0.17;-0.82;
16.9090;0.04;-0.21;
16.9100;-0.27;0.07;
16.9110;-0.41;0.33;
16.9120;-0.31;0.51;
16.9130;-0.27;0.37;
16.9140;-0.15;0.86;
16.9150;-0.56;0.86;
16.9160;-0.41;1.22;
16.9170;-0.54;0.97;
16.9180;-0.63;1.50;
16.9190;-0.82;2.28;
16.9200;-0.92;2.34;
16.9210;-0.84;2.06;
16.9220;-0.58;1.52;
16.9230;-0.31;1.14;
16.9240;-0.42;0.70;
16.9250;-0.37;0.26;
16.9260;0.00;-0.47;
16.9270;0.06;-0.91;
16.9280;0.05;-0.81;
16.9290;-0.04;-0.13;
16.9300;-0.15;0.09;
16.9310;-0.15;0.36;
16.9320;-0.37;0.47;
16.9330;-0.41;0.62;
16.9340;-0.43;0.75;
16.9350;-0.25;0.76;
16.9360;-0.42;0.99;
16.9370;-0.49;1.08;
16.9380;-0.61;1.50;
16.9390;-0.83;2.25;
16.9400;-1.10;2.28;
16.9410;-0.81;2.05;
16.9420;-0.55;1.55;
16.9430;-0.62;0.97;
16.9440;-0.55;0.80;
16.9450;-0.06;-0.03;
16.9460;0.03;-0.41;
16.9470;0.07;-0.78;
16.9480;0.12;-0.94;
16.9490;-0.30;-0.19;
16.9500;-0.17;0.20;
16.9510;-0.36;0.16;
16.9520;-0.21;0.30;
16.9530;-0.24;0.59;
16.9540;-0.37;0.71;
16.9550;-0.53;0.87;
16.9560;-0.62;1.04;
16.9570;-0.51;1.06;
16.9580;-0.83;1.58;
16.9590;-0.93;2.21;
16.9600;-0.89;2.45;
16.9610;-0.88;1.99;
16.9620;-0.70;1.30;
16.9630;-0.49;0.91;
16.9640;-0.31;0.83;
16.9650;-0.17;0.17;
16.9660;-0.10;-0.53;
16.9670;0.11;-0.93;
16.9680;0.22;-1.15;
16.9690;-0.27;-0.21;
16.9700;-0.22;0.02;
